leuk_attr apop_attr apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
L2.7 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.7 A6.1 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 0
L2.7 A6.2 1 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 0
L2.7 A6.3 1 1 1 1 1 1 1 0 -1 1 0 1 1 -1 1 -1 -1 0 -1
L2.7 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.7 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.7 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.7 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.7 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.7 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.7 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 0
L2.8 A1.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.2 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.3 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.8 A2.2 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.3 1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.4 1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.5 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.6 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.7 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.8 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.9 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.10 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A2.11 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.1 0 1 0 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.3 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.4 0 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.5 1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.6 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A3.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.2 1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.3 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.4 0 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.8 A4.5 1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.4 1 1 1 1 1 0 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.8 A5.5 1 1 1 1 1 0 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.8 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.8 A6.1 0 1 1 1 1 0 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 1
L2.8 A6.2 0 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 1
L2.8 A6.3 1 1 1 1 1 1 1 0 -1 1 0 1 1 -1 1 -1 -1 0 0
L2.8 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.8 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.8 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.8 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.8 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.8 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.8 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A1.1 1 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.1 1 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.9 A2.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.3 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.4 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.5 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.6 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.7 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.8 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.9 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.10 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A2.11 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.1 1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.4 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.5 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.6 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A3.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.1 1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.2 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.4 1 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.9 A4.5 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.1 1 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.4 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.9 A5.5 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.9 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.9 A6.1 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 1
L2.9 A6.2 1 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 1
L2.9 A6.3 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 0 0
L2.9 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.9 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A1.1 1 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.1 1 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.10 A2.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.3 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.4 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.5 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.6 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.7 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.8 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.9 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.10 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A2.11 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.1 1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.4 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.5 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.6 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A3.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.1 1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.2 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.4 1 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.10 A4.5 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.1 1 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.4 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.10 A5.5 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.10 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.10 A6.1 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 1
L2.10 A6.2 1 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 1
L2.10 A6.3 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 0 0
L2.10 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.10 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.11 A1.1 0 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.11 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
